,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,2,0,10000.0
1,2021-11-24,10083.45,2,0,10000.0
2,2021-11-25,9916.55,2,0,10000.0
3,2021-11-26,9732.96,1,1,10000.0
4,2021-11-29,9849.79,0,0,10120.05
5,2021-11-30,10016.69,2,2,10291.55
6,2021-12-01,10116.83,0,0,10291.55
7,2021-12-02,10083.45,2,0,10291.55
8,2021-12-03,10016.69,1,1,10291.55
9,2021-12-06,10000.0,2,0,10274.4
10,2021-12-07,10033.38,2,2,10308.7
11,2021-12-08,10116.83,1,1,10308.7
12,2021-12-09,10767.740000000002,2,2,10972.09
13,2021-12-10,10784.43,0,0,10972.09
14,2021-12-13,10784.43,1,1,10972.09
15,2021-12-14,10784.43,0,0,10972.09
16,2021-12-15,10784.43,1,0,10972.09
17,2021-12-16,10784.43,0,0,10972.09
18,2021-12-17,10784.43,2,0,10972.09
19,2021-12-20,10784.43,0,0,10972.09
20,2021-12-21,11869.28,2,2,12075.79
21,2021-12-22,13054.27,1,1,12075.79
22,2021-12-23,13721.87,1,0,12693.39
23,2021-12-24,12353.29,0,0,11427.31
24,2021-12-27,11685.69,2,0,10809.71
25,2021-12-28,12853.990000000002,0,0,11890.510000000002
26,2021-12-29,13020.89,2,0,12044.91
27,2021-12-30,13538.28,1,0,12523.55
28,2021-12-31,14890.17,2,2,13774.19
29,2022-01-04,14556.37,1,1,13774.19
30,2022-01-05,14823.410000000002,0,0,14026.83
31,2022-01-06,15240.660000000002,2,2,14421.58
32,2022-01-07,14790.03,0,0,14421.58
33,2022-01-10,14522.99,1,1,14421.58
34,2022-01-11,15007.0,0,0,14902.11
35,2022-01-12,15223.97,1,0,15117.52
36,2022-01-13,14322.71,0,0,14222.74
37,2022-01-14,14172.5,1,0,14073.61
38,2022-01-17,13788.63,0,0,13692.5
39,2022-01-18,14422.850000000002,1,0,14322.160000000002
40,2022-01-19,13805.32,0,0,13709.07
41,2022-01-20,15190.59,1,0,15084.38
42,2022-01-21,14539.680000000002,0,0,14438.15
43,2022-01-24,13905.46,1,0,13808.49
44,2022-01-25,13922.15,0,0,13825.06
45,2022-01-26,13354.69,2,0,13261.68
46,2022-01-27,14689.89,0,0,14587.28
47,2022-01-28,15274.04,2,2,15167.23
48,2022-02-07,14873.48,0,0,15167.23
49,2022-02-08,14956.930000000002,2,0,15167.23
50,2022-02-09,15624.53,1,1,15167.23
51,2022-02-10,14790.03,0,0,14357.23
52,2022-02-11,14556.37,2,0,14130.430000000004
53,2022-02-14,14055.67,0,0,13644.430000000002
54,2022-02-15,15457.63,1,0,15005.23
55,2022-02-16,16976.42,0,0,16479.430000000004
56,2022-02-17,16509.1,1,0,16025.830000000004
57,2022-02-18,16025.09,0,0,15556.030000000002
58,2022-02-21,15758.05,2,2,15296.830000000002
59,2022-02-22,15657.910000000002,0,0,15296.830000000002
60,2022-02-23,15057.07,2,0,15296.830000000002
61,2022-02-24,14489.61,1,1,15296.830000000002
62,2022-02-25,14139.12,0,0,14926.810000000003
63,2022-02-28,14456.23,1,0,15261.590000000002
64,2022-03-01,14422.850000000002,0,0,15226.350000000002
65,2022-03-02,14189.19,1,0,14979.670000000002
66,2022-03-03,14005.600000000002,0,0,14785.850000000002
67,2022-03-04,14306.02,1,0,15103.010000000002
68,2022-03-07,14255.95,0,0,15050.15
69,2022-03-08,12887.37,2,0,13605.31
70,2022-03-09,13054.27,0,0,13781.510000000002
71,2022-03-10,13070.96,2,0,13799.130000000005
72,2022-03-11,12970.82,0,0,13693.410000000002
73,2022-03-14,12536.88,1,0,13235.29
74,2022-03-15,13187.79,2,0,13922.470000000005
75,2022-03-16,13371.38,0,0,14116.29
76,2022-03-17,13855.39,1,0,14627.270000000002
77,2022-03-18,13938.84,0,0,14715.37
78,2022-03-21,14122.430000000002,2,0,14909.190000000004
79,2022-03-22,14489.61,0,0,15296.830000000002
80,2022-03-23,13988.910000000002,2,0,14768.230000000003
81,2022-03-24,14055.67,0,0,14838.71
82,2022-03-25,14439.54,2,0,15243.970000000005
83,2022-03-28,14005.600000000002,1,0,14785.850000000002
84,2022-03-29,14623.13,0,0,15437.79
85,2022-03-30,16091.850000000002,2,2,16988.350000000002
86,2022-03-31,15374.180000000002,0,0,16988.350000000002
87,2022-04-01,15924.95,1,1,16988.350000000002
88,2022-04-06,14656.51,0,0,15635.550000000005
89,2022-04-07,16125.23,1,0,17201.950000000004
90,2022-04-08,17744.160000000003,0,0,18928.550000000007
91,2022-04-11,19513.300000000003,1,0,20815.35000000001
92,2022-04-12,20631.53,0,0,22007.950000000004
93,2022-04-13,19529.99,2,2,20833.150000000005
94,2022-04-14,17577.260000000002,0,0,20833.150000000005
95,2022-04-15,15824.81,2,0,20833.150000000005
96,2022-04-18,14239.26,0,0,20833.150000000005
97,2022-04-19,13838.7,2,0,20833.150000000005
98,2022-04-20,12803.92,0,0,20833.150000000005
99,2022-04-21,12236.46,2,0,20833.150000000005
100,2022-04-22,11385.27,1,1,20833.150000000005
101,2022-04-25,11418.65,2,2,20894.230000000003
102,2022-04-26,11452.03,1,1,20894.230000000003
103,2022-04-27,11101.54,0,0,20254.78
104,2022-04-28,11568.86,1,0,21107.38
105,2022-04-29,11986.11,0,0,21868.63
106,2022-05-05,13187.79,1,0,24061.03
107,2022-05-06,13388.07,0,0,24426.43
108,2022-05-09,13354.69,1,0,24365.53
109,2022-05-10,13137.72,0,0,23969.680000000004
110,2022-05-11,13070.96,1,0,23847.88
111,2022-05-12,13454.830000000002,0,0,24548.230000000003
112,2022-05-13,13738.56,2,2,25065.880000000005
113,2022-05-16,13388.07,0,0,25065.880000000005
114,2022-05-17,13421.45,2,0,25065.880000000005
115,2022-05-18,13571.660000000002,0,0,25065.880000000005
116,2022-05-19,13554.97,1,1,25065.880000000005
117,2022-05-20,13638.42,0,0,25220.180000000008
118,2022-05-23,13020.89,0,0,24078.360000000008
119,2022-05-24,13171.1,1,0,24356.10000000001
120,2022-05-25,13338.0,2,0,24664.700000000008
121,2022-05-26,13755.25,1,0,25436.200000000008
122,2022-05-27,14222.57,0,0,26300.28000000001
123,2022-05-30,14339.4,1,0,26516.300000000007
124,2022-05-31,14105.74,0,0,26084.26000000001
125,2022-06-01,13621.73,2,2,25189.32000000001
126,2022-06-02,13688.49,0,0,25189.32000000001
127,2022-06-06,12319.91,1,1,25189.32000000001
128,2022-06-07,12019.490000000002,1,0,24574.98000000001
129,2022-06-08,12019.490000000002,2,0,24574.98000000001
130,2022-06-09,12036.18,1,0,24609.11000000001
131,2022-06-10,11802.52,0,0,24131.29000000001
132,2022-06-13,11719.07,2,0,23960.64000000001
133,2022-06-14,11752.45,0,0,24028.90000000001
134,2022-06-15,11785.83,2,0,24097.16000000001
135,2022-06-16,11618.93,0,0,23755.86000000001
136,2022-06-17,11652.31,2,0,23824.120000000014
137,2022-06-20,11552.17,0,0,23619.34000000001
138,2022-06-21,11351.89,1,0,23209.78000000001
139,2022-06-22,11418.65,1,0,23346.30000000001
140,2022-06-23,11585.55,2,0,23687.600000000013
141,2022-06-24,11418.65,1,0,23346.30000000001
142,2022-06-27,11552.17,0,0,23619.34000000001
143,2022-06-28,11418.65,1,0,23346.30000000001
144,2022-06-29,11435.34,0,0,23380.43000000001
145,2022-06-30,11335.2,2,0,23175.65000000001
146,2022-07-01,11285.13,0,0,23073.260000000013
147,2022-07-04,11368.58,1,0,23243.91000000001
148,2022-07-05,11201.68,2,0,22902.61000000001
149,2022-07-06,11401.96,1,0,23312.170000000013
150,2022-07-07,11769.14,2,0,24063.03000000001
151,2022-07-08,11518.79,1,0,23551.080000000013
152,2022-07-11,11301.82,0,0,23107.39000000001
153,2022-07-12,11568.86,2,0,23653.47000000001
154,2022-07-13,11335.2,0,0,23175.65000000001
155,2022-07-14,10784.43,1,0,22049.36000000001
156,2022-07-15,11468.72,0,0,23448.690000000013
157,2022-07-18,11769.14,1,0,24063.03000000001
158,2022-07-19,11702.38,0,0,23926.510000000013
159,2022-07-20,12236.46,2,0,25018.670000000013
160,2022-07-21,11969.42,1,0,24472.59000000001
161,2022-07-22,12253.15,0,0,25052.80000000001
162,2022-07-25,12603.64,2,2,25769.53000000001
163,2022-07-26,12737.16,1,1,25769.53000000001
164,2022-07-27,12870.68,0,0,26039.69000000001
165,2022-07-28,12703.78,2,0,25701.990000000013
166,2022-07-29,12503.5,1,0,25296.75000000001
167,2022-08-01,12219.77,2,0,24722.66000000001
168,2022-08-02,12002.8,1,0,24283.65000000001
169,2022-08-03,12353.29,1,0,24992.82000000001
170,2022-08-04,12586.95,0,0,25465.600000000013
171,2022-08-05,12670.4,1,0,25634.45000000001
172,2022-08-08,12687.09,0,0,25668.22000000001
173,2022-08-09,12553.57,2,0,25398.06000000001
174,2022-08-10,12853.990000000002,0,0,26005.920000000013
175,2022-08-11,12803.92,1,0,25904.61000000001
176,2022-08-12,12637.02,0,0,25566.91000000001
177,2022-08-15,12937.44,0,0,26174.77000000001
178,2022-08-16,12770.54,2,2,25837.07000000001
179,2022-08-17,12653.71,0,0,25837.07000000001
180,2022-08-18,12820.61,2,0,25837.07000000001
181,2022-08-19,12586.95,1,1,25837.07000000001
182,2022-08-22,12620.33,0,0,25905.59000000001
183,2022-08-23,12286.53,2,0,25220.39000000001
184,2022-08-24,12520.19,1,0,25700.030000000013
185,2022-08-25,12136.32,0,0,24912.05000000001
186,2022-08-26,12436.740000000002,1,0,25528.73000000001
187,2022-08-29,12870.68,0,0,26419.490000000013
188,2022-08-30,12353.29,2,0,25357.43000000001
189,2022-08-31,13588.350000000002,0,0,27892.670000000016
190,2022-09-01,14005.600000000002,2,2,28749.170000000016
191,2022-09-02,14272.64,1,1,28749.170000000016
192,2022-09-05,14522.99,0,0,29253.47000000001
193,2022-09-06,14189.19,1,0,28581.07000000001
194,2022-09-07,13955.53,0,0,28110.39000000001
195,2022-09-08,14072.36,2,0,28345.73000000001
196,2022-09-09,13738.56,0,0,27673.330000000016
197,2022-09-13,13955.53,2,0,28110.39000000001
198,2022-09-14,13922.15,0,0,28043.15000000001
199,2022-09-15,14189.19,1,0,28581.07000000001
200,2022-09-16,13771.94,0,0,27740.57000000001
201,2022-09-19,14522.99,2,2,29253.47000000001
202,2022-09-20,14739.96,1,0,29253.47000000001
203,2022-09-21,14239.26,0,0,29253.47000000001
204,2022-09-22,13872.080000000002,1,0,29253.47000000001
205,2022-09-23,13187.79,0,0,29253.47000000001
206,2022-09-26,13755.25,1,0,29253.47000000001
207,2022-09-27,13171.1,0,0,29253.47000000001
208,2022-09-28,12253.15,1,0,29253.47000000001
209,2022-09-29,12102.94,0,0,29253.47000000001
