,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9915.52,0,0,10000.0
2,2021-11-25,9971.84,1,1,10000.0
3,2021-11-26,9816.96,0,0,9875.81
4,2021-11-29,9774.72,1,1,9841.94
5,2021-11-30,9887.36,1,1,9950.739999999998
6,2021-12-01,9788.8,0,0,9852.39
7,2021-12-02,9845.12,1,1,9908.59
8,2021-12-03,9662.080000000002,0,0,9724.64
9,2021-12-06,9676.160000000002,1,1,9738.79
10,2021-12-07,9605.760000000002,1,0,9667.94
11,2021-12-08,9676.160000000002,0,0,9738.79
12,2021-12-09,9760.64,0,0,9823.81
13,2021-12-10,9760.64,0,0,9823.81
14,2021-12-13,9901.44,0,0,9965.51
15,2021-12-14,9887.36,0,0,9951.34
16,2021-12-15,9971.84,0,0,10036.36
17,2021-12-16,10000.0,0,0,10064.7
18,2021-12-17,10000.0,0,0,10064.7
19,2021-12-20,10168.96,0,0,10234.74
20,2021-12-21,10211.2,0,0,10277.25
21,2021-12-22,9873.28,0,0,9937.17
22,2021-12-23,10000.0,1,0,10064.7
23,2021-12-24,10140.8,0,0,10206.4
24,2021-12-27,10295.68,1,0,10362.27
25,2021-12-28,10323.84,0,0,10390.61
26,2021-12-29,10352.0,0,0,10418.95
27,2021-12-30,10492.8,1,0,10560.65
28,2021-12-31,10816.64,2,2,10886.56
29,2022-01-04,10704.0,0,0,10886.56
30,2022-01-05,10689.92,0,0,10886.56
31,2022-01-06,10478.72,0,0,10886.56
32,2022-01-07,10549.12,1,1,10886.56
33,2022-01-10,10591.36,1,1,10921.419999999998
34,2022-01-11,10844.8,0,0,11172.34
35,2022-01-12,11436.16,0,0,11757.819999999998
36,2022-01-13,11351.680000000002,0,0,11674.18
37,2022-01-14,11196.8,2,2,11520.84
38,2022-01-17,10788.48,2,0,11520.84
39,2022-01-18,10985.6,1,1,11520.84
40,2022-01-19,10858.88,0,0,11414.55
41,2022-01-20,10858.88,0,0,11414.55
42,2022-01-21,11253.12,0,0,11745.23
43,2022-01-24,11464.320000000002,1,1,11922.380000000005
44,2022-01-25,10915.2,2,0,11373.65
45,2022-01-26,10056.32,1,1,10515.38
46,2022-01-27,11056.0,1,1,11551.27
47,2022-01-28,12168.320000000002,0,0,12710.990000000002
48,2022-02-07,13379.2,0,0,13973.47
49,2022-02-08,14111.36,0,0,14736.83
50,2022-02-09,14505.600000000002,2,2,15147.870000000004
51,2022-02-10,13787.52,2,0,15147.870000000004
52,2022-02-11,15167.36,2,0,15147.870000000004
53,2022-02-14,13646.72,0,0,15147.870000000004
54,2022-02-15,13351.04,0,0,15147.870000000004
55,2022-02-16,12351.36,1,1,15147.870000000004
56,2022-02-17,12801.92,2,2,15589.790000000005
57,2022-02-18,13379.2,0,0,15589.790000000005
58,2022-02-21,13182.08,0,0,15589.790000000005
59,2022-02-22,12956.8,2,0,15589.790000000005
60,2022-02-23,12548.48,2,0,15589.790000000005
61,2022-02-24,12464.0,0,0,15589.790000000005
62,2022-02-25,12562.56,0,0,15589.790000000005
63,2022-02-28,13055.36,1,1,15589.790000000005
64,2022-03-01,12689.28,0,0,15240.090000000002
65,2022-03-02,13351.04,1,1,15872.240000000003
66,2022-03-03,13379.2,0,0,15904.400000000003
67,2022-03-04,12703.36,2,0,15132.560000000003
68,2022-03-07,13970.56,1,1,16579.760000000002
69,2022-03-08,14815.36,0,0,17574.56
70,2022-03-09,13942.4,0,0,16546.600000000002
71,2022-03-10,13477.760000000002,1,1,15999.460000000005
72,2022-03-11,12435.84,0,0,14764.400000000003
73,2022-03-14,13674.88,1,1,16233.120000000004
74,2022-03-15,15040.64,0,0,17853.99
75,2022-03-16,16547.2,0,0,19641.960000000003
76,2022-03-17,18208.64,2,2,21613.74
77,2022-03-18,20024.960000000003,2,0,21613.74
78,2022-03-21,18279.04,0,0,21613.74
79,2022-03-22,17251.2,0,0,21613.74
80,2022-03-23,17096.320000000003,0,0,21613.74
81,2022-03-24,15913.600000000002,2,0,21613.74
82,2022-03-25,15772.8,2,0,21613.74
83,2022-03-28,15223.680000000002,1,1,21613.74
84,2022-03-29,15688.320000000002,0,0,22141.41
85,2022-03-30,16054.4,0,0,22557.15
86,2022-03-31,17659.52,1,1,24380.01
87,2022-04-01,17955.2,2,2,24773.76
88,2022-04-06,16702.079999999998,2,0,24773.76
89,2022-04-07,17152.64,2,0,24773.76
90,2022-04-08,17800.320000000003,0,0,24773.76
91,2022-04-11,19574.4,0,0,24773.76
92,2022-04-12,17617.28,0,0,24773.76
93,2022-04-13,16378.240000000002,2,0,24773.76
94,2022-04-14,15378.56,1,1,24773.76
95,2022-04-15,14998.4,0,0,24283.98
96,2022-04-18,14759.04,0,0,23975.6
97,2022-04-19,15632.0,0,0,25100.279999999995
98,2022-04-20,14069.12,2,0,23086.74
99,2022-04-21,12858.240000000002,2,0,21526.7
100,2022-04-22,12562.56,0,0,21145.759999999995
101,2022-04-25,12844.16,0,0,21508.56
102,2022-04-26,12984.96,1,1,21689.96
103,2022-04-27,12196.48,0,0,20433.32
104,2022-04-28,12632.96,1,1,21128.96
105,2022-04-29,12238.72,2,0,20475.72
106,2022-05-05,11379.84,2,0,19052.59
107,2022-05-06,12520.320000000002,1,1,20942.32
108,2022-05-09,12844.16,2,0,21483.05
109,2022-05-10,13238.4,1,1,22141.33
110,2022-05-11,13491.84,0,0,22565.05
111,2022-05-12,13266.56,0,0,22188.41
112,2022-05-13,13534.08,2,2,22635.669999999995
113,2022-05-16,13604.48,0,0,22635.669999999995
114,2022-05-17,13407.36,0,0,22635.669999999995
115,2022-05-18,13491.84,1,1,22635.669999999995
116,2022-05-19,13632.64,0,0,22824.669999999995
117,2022-05-20,13843.84,0,0,23108.169999999995
118,2022-05-23,13815.680000000002,1,1,23070.369999999995
119,2022-05-24,14294.4,0,0,23838.43
120,2022-05-25,14055.04,0,0,23454.399999999998
121,2022-05-26,13942.4,1,1,23273.679999999997
122,2022-05-27,14350.72,0,0,23949.959999999992
123,2022-05-30,14646.4,0,0,24439.679999999997
124,2022-05-31,15632.0,1,1,26072.079999999994
125,2022-06-01,15026.56,0,0,25063.73
126,2022-06-02,14998.4,1,1,25016.829999999994
127,2022-06-06,14308.48,0,0,23866.309999999998
128,2022-06-07,14407.04,2,2,24030.669999999995
129,2022-06-08,13618.56,0,0,24030.669999999995
130,2022-06-09,14350.72,1,1,24030.669999999995
131,2022-06-10,13886.08,0,0,23408.289999999997
132,2022-06-13,14224.0,1,1,23860.93
133,2022-06-14,14759.04,0,0,24722.39
134,2022-06-15,14815.36,1,1,24813.069999999992
