,model,net income(yuan),Cumulative return(%),annualized rate of return(%),excess annualized rate of return(%),max drawdown,std,sharpe_ratio,sortino_ratio,CalmarRatio,ann sharpe ratio
0,buy_and_hold,-4326.7400000000025,-43.26740000000002,-51.920880000000025,0.0,-44.70266763108324,0.12711113161125087,-2.167927172840032,-3.5068362778811406,-0.011614716246575344,-34.41477695900439
1,Turtle Strategy,-2772.6699999999973,-27.726699999999973,-33.27203999999996,38.787814752017226,-31.785171279485365,0.10013501039755664,-1.7226873833912155,-2.6316936867961744,-0.010467786914671826,-27.346814418970425
2,MA Strategy,-2614.3499999999976,-26.143499999999975,-31.372199999999967,42.739301384884065,-34.55302965009988,0.11077777569459812,-1.4994600367946143,-2.4410498644245053,-0.00907943538314571,-23.80319014942986
3,PG Strategy,-3607.4199999999973,-36.074199999999976,-43.289039999999964,17.953406801122938,-40.61866301014664,0.12574114386832944,-1.502839608540948,-2.3470542266132806,-0.010657426116951772,-23.856839187702054
4,QL Strategy,815.8500000000004,8.158500000000004,9.790200000000002,128.35318117303322,-6.8281873804068,0.039582384312448565,-0.48191639617830767,-0.8005893043151893,0.014337919354838701,-7.650185622073681
5,EOW Strategy,2704.2400000000052,27.04240000000005,32.45088000000006,175.48524182638977,-9.219179174190005,0.08151962631031914,1.373302710973695,1.9572472447983897,0.035199315890127696,21.80050468828326
