,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,2,0,10000.0
1,2021-11-24,9970.38,2,0,10000.0
2,2021-11-25,9866.71,2,0,10000.0
3,2021-11-26,9911.14,2,0,10000.0
4,2021-11-29,9940.76,1,1,10000.0
5,2021-11-30,10000.0,0,0,10059.6
6,2021-12-01,9911.14,2,0,9970.2
7,2021-12-02,9925.95,1,0,9985.1
8,2021-12-03,9911.14,2,0,9970.2
9,2021-12-06,9925.95,0,0,9985.1
10,2021-12-07,9970.38,2,2,10029.8
11,2021-12-08,10000.0,1,1,10029.8
12,2021-12-09,9970.38,2,0,10000.100000000002
13,2021-12-10,9940.76,2,0,9970.4
14,2021-12-13,10088.86,1,0,10118.9
15,2021-12-14,10044.43,1,0,10074.350000000002
16,2021-12-15,10059.24,0,0,10089.2
17,2021-12-16,10074.05,2,2,10104.05
18,2021-12-17,10162.91,1,1,10104.05
19,2021-12-20,10311.01,2,2,10251.250000000002
20,2021-12-21,10207.34,2,0,10251.250000000002
21,2021-12-22,10192.53,2,0,10251.250000000002
22,2021-12-23,10133.29,1,1,10251.250000000002
23,2021-12-24,10399.87,0,0,10520.89
24,2021-12-27,10266.58,2,2,10386.070000000003
25,2021-12-28,10074.05,0,0,10386.070000000003
26,2021-12-29,10148.1,2,0,10386.070000000003
27,2021-12-30,10311.01,1,1,10386.070000000003
28,2021-12-31,10503.54,0,0,10580.030000000002
29,2022-01-04,10518.35,2,2,10594.95
30,2022-01-05,10518.35,1,1,10594.95
31,2022-01-06,10414.68,1,0,10490.510000000002
32,2022-01-07,10562.78,0,0,10639.71
33,2022-01-10,10444.3,2,0,10520.350000000002
34,2022-01-11,10918.22,0,0,10997.790000000005
35,2022-01-12,11051.51,2,2,11132.070000000003
36,2022-01-13,11273.66,0,0,11132.070000000003
37,2022-01-14,11140.37,2,0,11132.070000000003
38,2022-01-17,10844.17,1,1,11132.070000000003
39,2022-01-18,10888.6,0,0,11177.670000000002
40,2022-01-19,10651.64,1,0,10934.470000000005
41,2022-01-20,10473.92,0,0,10752.070000000003
42,2022-01-21,10370.25,2,0,10645.670000000002
43,2022-01-24,10029.62,0,0,10296.070000000003
44,2022-01-25,10059.24,2,0,10326.47
45,2022-01-26,9718.61,1,0,9976.87
46,2022-01-27,9851.9,0,0,10113.670000000002
47,2022-01-28,10029.62,2,0,10296.070000000003
48,2022-02-07,10148.1,1,0,10417.670000000002
49,2022-02-08,10266.58,2,0,10539.270000000002
50,2022-02-09,10251.77,1,0,10524.070000000003
51,2022-02-10,10044.43,0,0,10311.270000000002
52,2022-02-11,10103.67,0,0,10372.070000000003
53,2022-02-14,10029.62,1,0,10296.070000000003
54,2022-02-15,10103.67,0,0,10372.070000000003
55,2022-02-16,10000.0,2,0,10265.670000000002
56,2022-02-17,10133.29,1,0,10402.47
57,2022-02-18,10829.36,2,0,11116.87
58,2022-02-21,10903.41,1,0,11192.870000000004
59,2022-02-22,11110.75,0,0,11405.670000000002
60,2022-02-23,11481.0,2,2,11785.670000000002
61,2022-02-24,11184.8,1,1,11785.670000000002
62,2022-02-25,11332.9,0,0,11941.770000000004
63,2022-02-28,11540.24,2,2,12160.310000000003
64,2022-03-01,11806.82,1,1,12160.310000000003
65,2022-03-02,11717.96,0,0,12068.810000000003
66,2022-03-03,11584.67,0,0,11931.560000000003
67,2022-03-04,11510.62,2,0,11855.310000000003
68,2022-03-07,11095.94,1,0,11428.310000000003
69,2022-03-08,10873.79,0,0,11199.560000000003
70,2022-03-09,10740.5,1,0,11062.310000000003
71,2022-03-10,11466.19,0,0,11809.560000000003
72,2022-03-11,11110.75,2,0,11443.560000000003
73,2022-03-14,10533.16,0,0,10848.810000000003
74,2022-03-15,10636.83,2,0,10955.560000000003
75,2022-03-16,11007.08,1,0,11336.810000000003
76,2022-03-17,11125.56,0,0,11458.810000000003
77,2022-03-18,12236.31,2,2,12602.560000000003
78,2022-03-21,12162.260000000002,1,1,12602.560000000003
79,2022-03-22,11540.24,0,0,11957.86
80,2022-03-23,11851.25,2,0,12280.21
81,2022-03-24,12325.17,1,0,12771.410000000002
82,2022-03-25,12517.7,0,0,12970.96
83,2022-03-28,13776.55,2,2,14275.710000000005
84,2022-03-29,13110.1,1,1,14275.710000000005
85,2022-03-30,12621.37,0,0,13743.420000000006
86,2022-03-31,12117.83,2,0,13195.000000000004
87,2022-04-01,12221.5,1,0,13307.910000000003
88,2022-04-06,13450.73,2,2,14646.700000000004
89,2022-04-07,12932.38,1,1,14646.700000000004
90,2022-04-08,13465.54,0,0,15250.420000000006
91,2022-04-11,12725.04,1,0,14411.920000000006
92,2022-04-12,13287.820000000002,0,0,15049.180000000006
93,2022-04-13,13184.15,2,2,14931.790000000005
94,2022-04-14,12576.94,1,1,14931.790000000005
95,2022-04-15,12325.17,2,0,14632.930000000006
96,2022-04-18,12606.56,1,0,14966.950000000004
97,2022-04-19,12695.42,2,2,15072.430000000006
98,2022-04-20,11555.05,2,0,15072.430000000006
99,2022-04-21,10992.27,2,0,15072.430000000006
100,2022-04-22,10784.93,1,1,15072.430000000006
101,2022-04-25,10296.2,0,0,14389.330000000004
102,2022-04-26,10592.4,2,0,14803.330000000004
103,2022-04-27,10222.15,1,0,14285.830000000004
104,2022-04-28,10577.59,0,0,14782.630000000005
105,2022-04-29,10903.41,2,2,15238.030000000004
106,2022-05-05,10710.88,1,1,15238.030000000004
107,2022-05-06,10918.22,2,2,15533.010000000006
108,2022-05-09,10962.65,1,1,15533.010000000006
109,2022-05-10,10933.03,0,0,15491.030000000004
110,2022-05-11,11081.13,0,0,15700.930000000006
111,2022-05-12,11377.33,1,0,16120.730000000003
112,2022-05-13,12517.7,1,0,17736.960000000006
113,2022-05-16,12310.36,2,2,17443.100000000006
114,2022-05-17,12517.7,0,0,17443.100000000006
115,2022-05-18,12547.320000000002,2,0,17443.100000000006
116,2022-05-19,12665.8,0,0,17443.100000000006
117,2022-05-20,13095.29,0,0,17443.100000000006
118,2022-05-23,12473.27,1,1,17443.100000000006
119,2022-05-24,12828.71,0,0,17940.140000000007
120,2022-05-25,13421.11,1,0,18768.540000000008
121,2022-05-26,13110.1,0,0,18333.630000000005
122,2022-05-27,13124.91,2,2,18354.340000000004
123,2022-05-30,13406.3,1,1,18354.340000000004
124,2022-05-31,12991.62,0,0,17786.5
125,2022-06-01,13880.22,2,2,19003.3
126,2022-06-02,13524.78,1,1,19003.3
127,2022-06-06,12902.760000000002,0,0,18129.28
128,2022-06-07,12873.14,2,0,18087.66
129,2022-06-08,12517.7,1,0,17588.219999999994
130,2022-06-09,12725.04,2,0,17879.559999999998
131,2022-06-10,12665.8,1,0,17796.32
132,2022-06-13,12606.56,0,0,17713.079999999998
133,2022-06-14,12650.989999999998,2,0,17775.509999999995
134,2022-06-15,12887.95,1,0,18108.469999999998
135,2022-06-16,12695.42,1,0,17837.94
136,2022-06-17,12665.8,0,0,17796.32
137,2022-06-20,12443.65,2,0,17484.17
138,2022-06-21,11717.96,0,0,16464.479999999996
139,2022-06-22,12043.78,0,0,16922.3
140,2022-06-23,11954.92,1,0,16797.44
141,2022-06-24,11895.679999999998,0,0,16714.199999999993
142,2022-06-27,11777.2,2,0,16547.719999999998
143,2022-06-28,11466.19,1,0,16110.709999999995
144,2022-06-29,11421.76,0,0,16048.279999999995
145,2022-06-30,11525.43,1,0,16193.949999999995
146,2022-07-01,11717.96,1,0,16464.479999999996
147,2022-07-04,11510.62,2,0,16173.139999999996
148,2022-07-05,11258.85,1,0,15819.369999999995
149,2022-07-06,11318.09,1,0,15902.609999999995
150,2022-07-07,11258.85,1,0,15819.369999999995
